feature,method,importance,split
Profile_Local_Maxima_Count,mutual_information,0.06173843914752419,discovery
Profile_Local_Maxima_Count,conditional_mutual_information_proxy,0.15279300004268365,discovery
Pre_Approach_Pause_Seconds,mutual_information,0.059137050107059164,discovery
Pre_Approach_Pause_Seconds,conditional_mutual_information_proxy,0.07877442025258374,discovery
Previous_Delta_AtEntry,mutual_information,0.07620806849110262,discovery
Previous_Delta_AtEntry,conditional_mutual_information_proxy,0.019591955544709928,discovery
Directional_VWAP_Distance_Ticks_AtEntry,mutual_information,0.07990437218740642,discovery
Directional_VWAP_Distance_Ticks_AtEntry,conditional_mutual_information_proxy,0.11012072542418658,discovery
Prior_Closed_ATR3_Ticks_AtEntry,mutual_information,0.0,discovery
Prior_Closed_ATR3_Ticks_AtEntry,conditional_mutual_information_proxy,0.08162405300591376,discovery
BuySellRatio,mutual_information,0.15550786183501386,discovery
BuySellRatio,conditional_mutual_information_proxy,0.10533106331292187,discovery
Profile_Std_Ticks,mutual_information,0.0,discovery
Profile_Std_Ticks,conditional_mutual_information_proxy,0.03747956314839192,discovery
Profile_Effective_Nodes,mutual_information,0.0,discovery
Profile_Effective_Nodes,conditional_mutual_information_proxy,0.06955563355642357,discovery
Profile_Concentration,mutual_information,0.0,discovery
Profile_Concentration,conditional_mutual_information_proxy,0.12074595646206353,discovery
Flow_3_5_CounterflowShare,mutual_information,0.04402208570638044,discovery
Flow_3_5_CounterflowShare,conditional_mutual_information_proxy,0.1072436540431219,discovery
Prior_Closed_ATR5_Ticks_AtEntry,mutual_information,0.09934360942076137,discovery
Prior_Closed_ATR5_Ticks_AtEntry,conditional_mutual_information_proxy,0.07868961519752035,discovery
Detector_Publish_To_Entry_Latency_Milliseconds,mutual_information,0.011596297209163664,discovery
Detector_Publish_To_Entry_Latency_Milliseconds,conditional_mutual_information_proxy,0.07011254974812525,discovery
Profile_Local_Maxima_Count,logistic,0.9556438923606343,discovery
Pre_Approach_Pause_Seconds,logistic,0.5179918313053995,discovery
Previous_Delta_AtEntry,logistic,0.3080826715398385,discovery
Directional_VWAP_Distance_Ticks_AtEntry,logistic,0.4905179778333868,discovery
Prior_Closed_ATR3_Ticks_AtEntry,logistic,0.2074870243490099,discovery
BuySellRatio,logistic,0.1532283244174738,discovery
Profile_Std_Ticks,logistic,0.3398792382017444,discovery
Profile_Effective_Nodes,logistic,0.40953868783903713,discovery
Profile_Concentration,logistic,0.036332012119892274,discovery
Flow_3_5_CounterflowShare,logistic,0.32258795299071025,discovery
Prior_Closed_ATR5_Ticks_AtEntry,logistic,0.4512253867757457,discovery
Detector_Publish_To_Entry_Latency_Milliseconds,logistic,0.38318524120074005,discovery
Profile_Local_Maxima_Count,logistic_permutation,0.049705882352941246,validation
Pre_Approach_Pause_Seconds,logistic_permutation,0.06772058823529419,validation
Previous_Delta_AtEntry,logistic_permutation,-0.023749999999999948,validation
Directional_VWAP_Distance_Ticks_AtEntry,logistic_permutation,0.056397058823529495,validation
Prior_Closed_ATR3_Ticks_AtEntry,logistic_permutation,0.03477941176470595,validation
BuySellRatio,logistic_permutation,-0.015955882352941108,validation
Profile_Std_Ticks,logistic_permutation,0.05602941176470596,validation
Profile_Effective_Nodes,logistic_permutation,0.03191176470588243,validation
Profile_Concentration,logistic_permutation,0.0,validation
Flow_3_5_CounterflowShare,logistic_permutation,0.03294117647058831,validation
Prior_Closed_ATR5_Ticks_AtEntry,logistic_permutation,-0.007720588235294051,validation
