request_id,fecha,year,BurstId,burst_side,decision_utc,dataset,schema,symbols,stype_in,stype_out,start_utc,end_utc_exclusive,window_milliseconds,purpose,original_request_id,label_end_utc_exclusive,request_window_milliseconds,label_window_milliseconds,padding_policy
NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001_PAD100MS,2022-04-26,2022,LB_20220426_093143_SELL_0001,SELL,2022-04-26T13:31:44.003000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-04-26T13:31:43.903000+00:00,2022-04-26T13:31:49.103000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001,2022-04-26T13:31:49.003000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001_PAD100MS,2022-04-27,2022,LB_20220427_093500_BUY_0001,BUY,2022-04-27T13:35:01.007000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-04-27T13:35:00.907000+00:00,2022-04-27T13:35:06.107000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001,2022-04-27T13:35:06.007000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001_PAD100MS,2022-05-04,2022,LB_20220504_093301_SELL_0001,SELL,2022-05-04T13:33:02.005000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-05-04T13:33:01.905000+00:00,2022-05-04T13:33:07.105000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001,2022-05-04T13:33:07.005000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001_PAD100MS,2022-05-09,2022,LB_20220509_093112_BUY_0001,BUY,2022-05-09T13:31:13.010000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-05-09T13:31:12.910000+00:00,2022-05-09T13:31:18.110000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001,2022-05-09T13:31:18.010000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001_PAD100MS,2022-05-18,2022,LB_20220518_093457_BUY_0001,BUY,2022-05-18T13:34:58.072000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-05-18T13:34:57.972000+00:00,2022-05-18T13:35:03.172000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001,2022-05-18T13:35:03.072000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001_PAD100MS,2022-05-20,2022,LB_20220520_093501_SELL_0001,SELL,2022-05-20T13:35:02.005000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-05-20T13:35:01.905000+00:00,2022-05-20T13:35:07.105000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001,2022-05-20T13:35:07.005000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001_PAD100MS,2022-05-23,2022,LB_20220523_093420_SELL_0001,SELL,2022-05-23T13:34:21.020000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-05-23T13:34:20.920000+00:00,2022-05-23T13:34:26.120000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001,2022-05-23T13:34:26.020000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001_PAD100MS,2022-05-27,2022,LB_20220527_093100_BUY_0001,BUY,2022-05-27T13:31:01.019000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-05-27T13:31:00.919000+00:00,2022-05-27T13:31:06.119000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001,2022-05-27T13:31:06.019000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001_PAD100MS,2022-06-08,2022,LB_20220608_093102_SELL_0001,SELL,2022-06-08T13:31:03.007000+00:00,GLBX.MDP3,mbo,NQM2,raw_symbol,instrument_id,2022-06-08T13:31:02.907000+00:00,2022-06-08T13:31:08.107000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001,2022-06-08T13:31:08.007000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001_PAD100MS,2022-06-27,2022,LB_20220627_093202_SELL_0001,SELL,2022-06-27T13:32:03.009000+00:00,GLBX.MDP3,mbo,NQU2,raw_symbol,instrument_id,2022-06-27T13:32:02.909000+00:00,2022-06-27T13:32:08.109000+00:00,5100,INDEPENDENT_5S_LABEL_ONLY_NEVER_PREDICTOR,NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001,2022-06-27T13:32:08.009000+00:00,5200,5100,END_TSRECV_PLUS_100MS_NEVER_LABEL
